"comname","est_year","COGy","COGx"
"atlantic mackerel",1999,39.9479097780502,-71.079319195444
"atlantic mackerel",2000,40.8181036531782,-69.861151374102
"atlantic mackerel",2001,40.7517611053583,-69.4061768462765
"atlantic mackerel",2002,40.2514550490906,-71.8517136744162
"atlantic mackerel",2003,39.3338051223748,-72.9396507131483
"atlantic mackerel",2004,39.0315295803832,-73.550821961012
"atlantic mackerel",2005,38.6887799278805,-73.6096263984424
"atlantic mackerel",2006,39.5306021579087,-73.0842664531619
"atlantic mackerel",2007,40.7394499652837,-70.0741854822182
"atlantic mackerel",2008,40.0386230681869,-72.670086228701
"atlantic mackerel",2009,39.7907593724754,-72.542737691611
"atlantic mackerel",2010,38.7379130217756,-72.862704237243
"atlantic mackerel",2011,38.91274945401,-73.0033066912593
"atlantic mackerel",2012,42.409777993371,-68.5097463223303
"atlantic mackerel",2013,40.7894802237584,-69.9428840914377
"atlantic mackerel",2014,41.5557957790281,-69.2590153766093
"atlantic mackerel",2015,42.623093614458,-67.4690988527553
"atlantic mackerel",2016,41.393001870341,-69.4406532673494
"atlantic mackerel",2017,41.2480451872034,-69.2167813687431
"atlantic mackerel",2018,39.9409287791528,-72.0290273194323
"atlantic mackerel",2019,41.2937896823262,-69.928158138022
"atlantic sharpnose shark",1974,36.933333,-75.583333
"atlantic sharpnose shark",1981,36.583333,-75.283333
"atlantic sharpnose shark",1983,37.533333,-75.233333
"atlantic sharpnose shark",1984,36.686458,-75.5010418125
"atlantic sharpnose shark",1990,36.533333,-75.533333
"atlantic sharpnose shark",1991,35.55,-74.9
"atlantic sharpnose shark",1992,37.433333,-75.366667
"atlantic sharpnose shark",1994,36.516667,-75.366667
"atlantic sharpnose shark",1995,37.0376810434783,-75.3644926521739
"atlantic sharpnose shark",1997,35.55,-74.85
"atlantic sharpnose shark",1998,36.3255141849866,-75.4143428981233
"atlantic sharpnose shark",1999,36.6636418604651,-74.9269583674419
"atlantic sharpnose shark",2000,36.9421358421053,-75.2096665789474
"atlantic sharpnose shark",2002,36.268667,-75.483167
"atlantic sharpnose shark",2003,36.7347241024259,-75.2814110512129
"atlantic sharpnose shark",2006,37.80844,-75.079887
"atlantic sharpnose shark",2008,35.6176013551449,-74.9721501086586
"atlantic sharpnose shark",2009,35.647938,-74.940367
"atlantic sharpnose shark",2012,35.83886,-75.041772
"atlantic sharpnose shark",2014,35.68113,-75.108243
"atlantic sharpnose shark",2015,37.014352,-75.507832
"black sea bass",1970,36.8037641044838,-75.1289383064619
"black sea bass",1971,36.6829498213476,-74.7943984216768
"black sea bass",1972,37.0826991961206,-74.7001860895832
"black sea bass",1973,36.9779662713571,-74.5954537099709
"black sea bass",1974,37.8776226558727,-74.2267198248569
"black sea bass",1975,37.0043919792387,-74.673609174809
"black sea bass",1976,37.113306908106,-74.519985081
"black sea bass",1977,36.9596975250145,-74.6717614492921
"black sea bass",1978,36.6154037783963,-74.7412263643484
"black sea bass",1979,37.4752790536118,-74.4381452693563
"black sea bass",1980,36.954644283757,-74.6089793696698
"black sea bass",1981,36.9181538668993,-74.561850470289
"black sea bass",1982,37.1773523052204,-74.5379897689176
"black sea bass",1983,37.3346873998995,-74.2931603913706
"black sea bass",1984,36.9451591443899,-75.0910745920119
"black sea bass",1985,37.1678503617637,-74.3260337662015
"black sea bass",1986,38.3575702965681,-73.507583404545
"black sea bass",1987,37.6917858061696,-74.1552455595729
"black sea bass",1988,37.4236853958197,-74.3834472737338
"black sea bass",1989,37.0569804416335,-74.5071207274254
"black sea bass",1990,37.1800283357001,-74.5876591274411
"black sea bass",1991,37.2657821307861,-74.7634141135528
"black sea bass",1992,37.7445289594496,-74.1889862331841
"black sea bass",1993,37.2319205687398,-74.5215278961296
"black sea bass",1994,37.0832637523657,-74.4820577677657
"black sea bass",1995,37.9821944353401,-74.0510530544575
"black sea bass",1996,37.151774298188,-74.5874720767715
"black sea bass",1997,37.7823964764063,-74.2759406836948
"black sea bass",1998,37.4498809381064,-74.4761542667974
"black sea bass",1999,36.5068222232863,-74.9376348497752
"black sea bass",2000,36.9921772238664,-74.9569185033138
"black sea bass",2001,38.2602985937772,-73.7815228307966
"black sea bass",2002,38.0817360389946,-74.0384292549865
"black sea bass",2003,37.9304410783281,-74.0370600949458
"black sea bass",2004,38.7524519067408,-73.1763420167599
"black sea bass",2005,38.7146875889634,-73.2311819576605
"black sea bass",2006,38.2064560173634,-73.8837868157649
"black sea bass",2007,39.1010318464152,-72.9227358702451
"black sea bass",2008,38.5420638036516,-73.7583077027358
"black sea bass",2009,38.3569877557726,-74.3471082683904
"black sea bass",2010,38.7538778484654,-73.1095342223407
"black sea bass",2011,38.6791695346692,-73.3815958600014
"black sea bass",2012,39.0463985065337,-73.3108120078426
"black sea bass",2013,38.8929884127014,-73.0165320437132
"black sea bass",2014,39.4909387084972,-72.4838883862605
"black sea bass",2015,39.5247167706477,-72.7482950598605
"black sea bass",2016,40.4751375596671,-71.8212492440862
"black sea bass",2017,39.2387397562398,-72.6258992568348
"black sea bass",2018,39.0892542738999,-73.2216570961165
"black sea bass",2019,39.2607910130012,-72.8843885199877
"bluefish",1970,40.8703487325581,-71.7432168255814
"bluefish",1971,40.7030133170199,-70.3987634869078
"bluefish",1972,41.0562685263518,-69.8142938028748
"bluefish",1973,40.8251939945377,-69.3350264522045
"bluefish",1974,39.6686584845385,-70.8183266643905
"bluefish",1975,37.947734317834,-72.5850260542433
"bluefish",1976,36.8771245285807,-74.5523843939591
"bluefish",1977,39.7949802017698,-71.5802964648536
"bluefish",1978,40.8765521211372,-69.2770327068398
"bluefish",1979,41.087045631394,-68.7188135102917
"bluefish",1980,39.8295065804196,-70.6270006981352
"bluefish",1981,38.98970243148,-72.0817506111858
"bluefish",1982,40.9290264797361,-70.1903417915488
"bluefish",1983,40.4412586018984,-70.9747567228736
"bluefish",1984,41.0983885452962,-69.1074187343206
"bluefish",1985,39.0061766858931,-73.4478886535859
"bluefish",1986,40.8271242872418,-68.4721464417983
"bluefish",1987,40.9159898515358,-69.220190737372
"bluefish",1988,40.5289843160454,-69.9419233252296
"bluefish",1989,38.651997059317,-72.9753243840623
"bluefish",1990,41.0080949443248,-69.4855377231621
"bluefish",1991,41.4443568125984,-68.2043569937008
"bluefish",1992,40.0549028057428,-70.2454488189276
"bluefish",1993,41.0550196023372,-69.1418474831386
"bluefish",1994,40.4309319622166,-70.0108200890009
"bluefish",1995,40.8404013497188,-69.9733770874817
"bluefish",1996,37.9079867806268,-73.721861219943
"bluefish",1997,40.6529232180829,-69.000411643784
"bluefish",1998,40.9490044632743,-69.402234489823
"bluefish",1999,39.6049696896132,-70.2053660990226
"bluefish",2000,38.7078682999088,-72.5791017675479
"bluefish",2001,40.5951656947836,-71.3689151846733
"bluefish",2002,40.8265735,-69.2318377285266
"bluefish",2003,35.9847606368785,-74.8674851513036
"bluefish",2004,40.4907993421252,-71.0232558904037
"bluefish",2005,40.9487299669605,-68.9840683146767
"bluefish",2006,39.2071092726111,-72.7901623453367
"bluefish",2007,41.1886663537021,-68.4970064785822
"bluefish",2008,40.6314654506829,-69.5710322043678
"bluefish",2009,39.5033399819282,-71.9291014086013
"bluefish",2010,40.5297460951142,-70.9022025656154
"bluefish",2011,38.7323494871587,-72.8716030829682
"bluefish",2012,41.1933938617235,-69.5837662700603
"bluefish",2013,39.852683688417,-71.9626447192573
"bluefish",2014,40.4874060924606,-72.088236959299
"bluefish",2015,37.2277811211294,-73.7249397917503
"bluefish",2016,37.8515856292806,-74.2407217071302
"bluefish",2017,38.9312135952712,-72.932016152544
"bluefish",2018,36.7083361329359,-74.6431512598574
"bluefish",2019,39.0488457935444,-71.527125378185
"butterfish",1970,37.6168487939851,-73.884166572553
"butterfish",1971,37.9125752359161,-73.228143716507
"butterfish",1972,38.471968966943,-73.4567306595236
"butterfish",1973,38.7433872859321,-72.7608663493975
"butterfish",1974,39.7193410804486,-71.8196662933978
"butterfish",1975,39.2944431035753,-71.8003803717443
"butterfish",1976,39.5515097552333,-71.531270164088
"butterfish",1977,39.6298724347035,-71.6331842069496
"butterfish",1978,39.7652760889681,-71.654046353174
"butterfish",1979,39.421444079343,-71.9048081190234
"butterfish",1980,39.5937926230202,-71.2140182676093
"butterfish",1981,39.8850948201935,-71.2003907177175
"butterfish",1982,39.7330790036882,-71.4719084150272
"butterfish",1983,39.6865576507534,-71.5333514508284
"butterfish",1984,39.5936966507811,-71.7662312556268
"butterfish",1985,38.981714343014,-72.1640836052932
"butterfish",1986,40.0492008766386,-71.1773042915575
"butterfish",1987,38.3090754120042,-72.8124957141045
"butterfish",1988,39.9297179501346,-71.4795919401672
"butterfish",1989,39.1730355004304,-72.5099888973768
"butterfish",1990,38.5097653619003,-72.9092390535105
"butterfish",1991,39.4377094211248,-71.9503636402588
"butterfish",1992,39.1288587513217,-72.3242772275211
"butterfish",1993,39.6153392920976,-71.6477494494195
"butterfish",1994,39.3037605635532,-72.0965427203163
"butterfish",1995,40.3863476182683,-69.4909361676395
"butterfish",1996,39.931649356752,-71.69736537844
"butterfish",1997,39.5806441894526,-71.6763276229826
"butterfish",1998,39.5206114307268,-71.1339489626508
"butterfish",1999,40.0331375977065,-71.2797190729879
"butterfish",2000,40.2201939713544,-71.146004708511
"butterfish",2001,39.9326485368622,-70.8048815647242
"butterfish",2002,39.427494895256,-71.9965200634072
"butterfish",2003,37.8999274487126,-73.008882361562
"butterfish",2004,37.2903999634547,-73.9362653909824
"butterfish",2005,39.3653258374325,-72.0839632658761
"butterfish",2006,39.9486040358403,-71.2859586610617
"butterfish",2007,39.8796877076085,-70.5742679740933
"butterfish",2008,39.1365608129463,-72.7796555196895
"butterfish",2009,38.4799213354667,-72.6867640783084
"butterfish",2010,37.989389403697,-73.3674153619756
"butterfish",2011,37.9839996179498,-73.2428596253522
"butterfish",2012,40.4034426592702,-70.3272342670854
"butterfish",2013,38.9019111425767,-71.8788206080539
"butterfish",2014,39.7216831149602,-71.7062673714681
"butterfish",2015,39.0261719371787,-71.8498012501302
"butterfish",2016,40.6749434087084,-70.5712529258298
"butterfish",2017,38.8612657643379,-72.4518017646826
"butterfish",2018,37.9702609270397,-73.158755540463
"butterfish",2019,37.7810438917422,-73.0616595337386
"fawn cusk-eel",1970,39.5557369159107,-71.0909075235895
"fawn cusk-eel",1971,39.7641282287976,-71.6698127005872
"fawn cusk-eel",1972,39.7904052631046,-71.6628686744957
"fawn cusk-eel",1973,39.383599210089,-70.9115982431612
